Date,2015-04-25T09:48:48.246979
subject, treatment, number of oysters, cooked option, chosen option, option 1, option 2, option 3, option 4, option 5, option 6, option 7, option 8
example, A, 12, fried, 6, unknown, low, medium, high, unknown, low, medium, high
,,,,,price1,2,3,4,5,6,7,8
,,,,,yes,no,yes,no,yes,no,yes,no
900, C, 3, In a bag with ice, 1, moderate, low, unknown, high, low, unknown, moderate, high
,,,,, 2.41624455272, 2.19376552633, 1.70524986155, 1.67075404297, 1.23443563355, 1.53686429202, 1.37492952464, 1.97975298682
,,,,, No, No, No, No, Yes, No, No, No
1264, C, 3, Fried, 7, moderate, unknown, unknown, high, low, low, high, moderate
,,,,, 1.50030571774, 2.09499548518, 1.58254304293, 2.20322987556, 2.13186784504, 0.269035466157, 1.01529365348, 0.632240775356
,,,,, Yes, No, No, Yes, No, Yes, No, Yes
1080, B, 3, Fried, 5, unknown, unknown, high, low, low, moderate, high, moderate
,,,,, 0.812978141068, 1.32587982036, 1.07569045651, 1.85274758987, 1.55276070124, 1.46315150147, 1.55877145627, 0.697841392171
,,,,, No, No, No, Yes, Yes, Yes, No, Yes
1396, C, 3, In a bag with ice, 7, moderate, high, moderate, unknown, high, low, low, unknown
,,,,, 1.86904540212, 1.41380413555, 1.37647956694, 0.486609574556, 1.47411625469, 1.17785722438, 1.6216901738, 1.29964060552
,,,,, No, No, No, No, No, Yes, Yes, No
1266, A, 3, Fried, 8, unknown, moderate, unknown, low, moderate, low, high, high
,,,,, 2.66616261607, 1.6824543492, 1.22024615969, 1.91786641565, 0.757903754204, 2.71662035612, 2.39215508056, 1.22208663673
,,,,, No, No, No, No, Yes, No, No, No
1035, C, 3, Raw on the half shell, 5, moderate, moderate, unknown, low, high, high, low, unknown
,,,,, 0.797785256326, 0.860060562724, 0.906751665946, 1.98037965566, 2.00544827338, 1.73565751513, 2.6151780536, 2.39639398271
,,,,, No, No, No, No, Yes, Yes, No, No
1383, C, 3, Fried, 4, low, low, moderate, high, moderate, unknown, high, unknown
,,,,, 2.14120195657, 0.391028808842, 1.53025375736, 1.00254525823, 1.7092443581, 1.11169091622, 1.28184362856, 0.374170175285
,,,,, No, No, Yes, No, No, No, No, No
1316, A, 3, Fried, 3, moderate, unknown, low, low, high, high, moderate, unknown
,,,,, 1.36684382416, 0.661287002114, 1.31453811474, 2.79072128303, 1.72944682839, 2.25332953774, 1.54245718353, 1.8005196159
,,,,, No, Yes, Yes, No, No, Yes, Yes, Yes
1296, C, 3, Fried, 1, moderate, moderate, high, unknown, low, low, high, unknown
,,,,, 2.4427236263, 1.74355681021, 1.36161708916, 2.32059229437, 2.00477954253, 1.09456997851, 2.82768391382, 0.939566684727
,,,,, No, Yes, Yes, No, No, Yes, No, No
1164, B, 6, Fried, 7, moderate, moderate, low, unknown, high, high, low, unknown
,,,,, 1.22148577291, 2.13095213122, 1.85262362044, 1.88817340703, 1.32615153281, 1.66416119452, 1.76354554267, 0.869360358903
,,,,, Yes, No, No, No, Yes, Yes, No, Yes
8323, A, 3, Fried, 2, high, moderate, moderate, low, unknown, unknown, low, high
,,,,, 0.464474406926, 2.4927790219, 1.35251884894, 0.378561356606, 1.36823967138, 0.814132426835, 1.55566906702, 1.07903773372
,,,,, No, No, No, Yes, No, No, No, No
1134, B, 9, Fried, 2, unknown, high, moderate, high, moderate, low, unknown, low
,,,,, 2.21202785568, 0, 0.942047721983, 2.06677208795, 1.28836012514, 0.283402277369, 1.47421580285, 0.915207576352
,,,,, No, Yes, Yes, No, No, Yes, No, Yes
1149, C, 3, Fried, 6, moderate, low, unknown, low, unknown, moderate, high, high
,,,,, 2.73033814442, 2.51235480973, 1.70028946114, 1.64165028088, 1.94044139838, 0.667266297988, 0.957437292724, 1.68476897499
,,,,, No, No, No, No, No, No, Yes, No
1096, B, 6, Fried, 5, low, unknown, low, unknown, high, moderate, high, moderate
