Date,2015-04-25T09:48:48.246979
subject, age,gender,how often do you consume oysters,are you the primary shopper,what is your profession,other box for profession,political affliation,other box for political affiliatin,household income,highest level of eduation,how often do you go to the beach each year,are you a first time oyster consumer,in a month how often do you eat seafood,in a month how oftedn do you eat at a restaurant,when at a restaurant percent seafood vs other food (0 = all other 100 = all seafood),how oftend do you eat at home vs a restaurant,are you the primary seafood shopper,how often do you catch your own seafood,how important is location to oyster choice,for oysters from Delaware Bay I would...,for oysters from Delaware Inland bays I would...,how do you usually prepare your oysters,other box for usual oyster prep,how important is oyster species (9 = impmortant 0 = not important),how important is oyster shell size,how important is oyster meat size,how important is oyster appearance,how important is the saltiness of oysters,how important is the smell of oysters,how important is the oyster shell color,how important is the oyster meat color,how important is the oyster harvest location
900, 23, female, 3-5, no, Agriculture, , moderate, , $10000-$14999, Bachelor's degree, >9 times per year, No, 2, 3, 50, 50, No, 5, 5, pay less than other locations, pay less than other locations, Fried, , 5, 5, 5, 5, 5, 5, 5, 5, 5
1264, 23, female, 0, no, Agriculture, , moderate, , $200000-$249999, Associate degree, >9 times per year, Yes, 3, 15, 73, 82, Yes, 3, 7, pay less than other locations, pay less than other locations, Fried, , 1, 5, 5, 5, 7, 7, 5, 7, 8
1080, 20, female, 0, yes, Other, , moderate, , $100000-$149999, High school graduate, 3-5 times per year, Yes, once a month, twice a month, 16, 90, No, 1, 1, pay the same as other locations, pay the same as other locations, Other, I've never had oysters, 1, 1, 2, 2, 3, 3, 2, 3, 3
1396, 21, female, 1-2, no, Academia, , conservative, , $75000-$99999, Some college credit, >9 times per year, No, 3, 8, 22, 95, No, 2, 9, pay less than other locations, pay less than other locations, Fried, , 1, 1, 9, 9, 9, 9, 1, 9, 9
1266, 23, female, 0, no, Academia, , liberal, , Less than $10000, Associate degree, 1-2 times per year, Yes, 0, 1, 15, 25, No, 1, 5, pay the same as other locations, pay the same as other locations, Other, steamed, 3, 5, 7, 5, 4, 6, 5, 7, 4
1035, 21, female, 0, yes, Other, , liberal, , Less than $10000, Some college credit, 3-5 times per year, Yes, once, four times, 30, 49, Yes, 1, 9, pay less than other locations, pay less than other locations, Raw on the half shell, , 9, 5, 6, 9, 7, 5, 5, 9, 9
1383, 18, male, 0, no, Academia, , conservative, , $100000-$149999, High school graduate, 1-2 times per year, No, Three to five times, One or fewer times, 26, 10, No, 1, 2, pay the same as other locations, pay the same as other locations, Grilled, , 5, 3, 3, 5, 7, 7, 3, 7, 2
1316, 22, female, 0, yes, , , moderate, , $10000-$14999, Some college credit, 1-2 times per year, Yes, little bit, 2 times a month , 28, 27, Yes, 1, 1, pay less than other locations, pay more than other locations, Fried, , 3, 4, 6, 2, 5, 5, 5, 6, 3
1296, 22, female, 0, no, Other, , liberal, , $100000-$149999, Bachelor's degree, >9 times per year, Yes, 4, 10, 40, 50, No, 1, 7, pay less than other locations, pay less than other locations, Fried, , 2, 5, 7, 5, 5, 9, 5, 7, 7
1164, 33, male, 1-2, no, Academia, , moderate, , $50000-$74999, Graduate degree/Professional, >9 times per year, No, 4, 10, 14, 90, Yes, 2, 7, pay less than other locations, pay less than other locations, Raw on the half shell, , 2, 5, 7, 7, 7, 8, 5, 4, 7
8323, 20, female, 1-2, no, Other, , moderate, , $10000-$14999, Some college credit, 1-2 times per year, No, 1, 6, 11, 85, No, 1, 3, pay the same as other locations, pay the same as other locations, Fried, , 1, 1, 5, 5, 6, 6, 4, 7, 3
1134, 26, male, 3-5, yes, Academia, , liberal, , $10000-$14999, Bachelor's degree, 3-5 times per year, No, 6, 1, 20, 17, Yes, 1, 8, pay more than other locations, , Fried, , 5, 3, 7, 7, 7, 9, 4, 7, 3
1149, 52, female, 1-2, no, Academia, , liberal, , $100000-$149999, Graduate degree/Professional, >9 times per year, No, 4, 2, 74, 46, No, 1, 5, pay the same as other locations, pay the same as other locations, Fried, , 3, 3, 6, 5, 4, 8, 4, 7, 6
