Date,2015-04-25T09:48:48.246979
subject, treatment, number of oysters, cooked option, chosen option, option 1, option 2, option 3, option 4, option 5, option 6
example, A, 12, fried, 6, unknown, low, medium, high, unknown, low
,,,,,price1,2,3,4,5,6
,,,,,yes,no,yes,no,yes,no
320, None, 3, Fried, 2, <em>Nauti Pilgrim</em> oysters from Plymouth Rock MA., <em>Little Bitches</em> oysters from Chesapeake Bay in VA., Oysters from Long Island NY. These are wild-caught oysters., <em>Nauti Pilgrim</em> oysters. These are aquacultured oysters., <em>Little Bitches</em> oysters. These are aquacultured oysters., Oysters from Plymouth Rock MA. These are aquacultured oysters.
,,,,, 1.43248238844, 1.1999991806, 1.16090468256, 1.83191974875, 3.25455433731, 1.54989840362
,,,,, Yes, No, No, Yes, No, Yes
490, None, 6, In a bag with ice, 5, <em>Blue Point</em> oysters from Long Island NY., <em>Nauti Pilgrim</em> oysters from Plymouth Rock MA., <em>Little Bitches</em> oysters from Chesapeake Bay in VA., <em>Blue Point</em> oysters. These are wild-caught oysters., <em>Blue Point</em> oysters. These are wild-caught oysters., Oysters from Chesapeake Bay in VA. These are aquacultured oysters.
,,,,, 2.27302188921, 2.24227450903, 1.50136238182, 1.04724980081, 2.37422540069, 1.82263580513
,,,,, No, No, No, No, No, Yes
1298, None, 3, Raw on the half shell, 4, <em>Nauti Pilgrim</em> oysters. These are aquacultured oysters., Oysters from Plymouth Rock MA. These are aquacultured oysters., Oysters from Long Island NY. These are wild-caught oysters., <em>Blue Point</em> oysters from Long Island NY., <em>Little Bitches</em> oysters. These are aquacultured oysters., Oysters from Chesapeake Bay in VA. These are aquacultured oysters.
,,,,, 1.86770251562, 0.978168445792, 1.33662205358, 1.10571394829, 1.67760319175, 1.49355439624
,,,,, No, Yes, Yes, No, No, Yes
1181, None, 3, Fried, 4, <em>Nauti Pilgrim</em> oysters from Plymouth Rock MA., Oysters from Plymouth Rock MA. These are aquacultured oysters., <em>Little Bitches</em> oysters. These are aquacultured oysters., <em>Little Bitches</em> oysters from Chesapeake Bay in VA., <em>Blue Point</em> oysters. These are wild-caught oysters., Oysters from Chesapeake Bay in VA. These are aquacultured oysters.
,,,,, 1.25563020758, 0.89204386932, 1.08576470507, 1.9460013689, 2.05474824757, 1.46470052831
,,,,, Yes, No, No, No, Yes, No
1351, None, 3, Fried, 2, Oysters from Long Island NY. These are wild-caught oysters., <em>Blue Point</em> oysters from Long Island NY., <em>Little Bitches</em> oysters from Chesapeake Bay in VA., Oysters from Long Island NY. These are wild-caught oysters., <em>Nauti Pilgrim</em> oysters. These are aquacultured oysters., Oysters from Chesapeake Bay in VA. These are aquacultured oysters.
,,,,, 1.24499024187, 1.76840251481, 1.89891612135, 0.92367969041, 0.11748841415, 1.15313186774
,,,,, No, No, No, Yes, Yes, No
