Date,2015-04-25T09:48:48.246979
subject, age,gender,how often do you consume oysters,are you the primary shopper,what is your profession,other box for profession,political affliation,other box for political affiliatin,household income,highest level of eduation,how often do you go to the beach each year,are you a first time oyster consumer,in a month how often do you eat seafood,in a month how oftedn do you eat at a restaurant,when at a restaurant percent seafood vs other food (0 = all other 100 = all seafood),how oftend do you eat at home vs a restaurant,are you the primary seafood shopper,how often do you catch your own seafood,how important is location to oyster choice,for oysters from Delaware Bay I would...,for oysters from Delaware Inland bays I would...,how do you usually prepare your oysters,other box for usual oyster prep,how important is oyster species (9 = impmortant 0 = not important),how important is oyster shell size,how important is oyster meat size,how important is oyster appearance,how important is the saltiness of oysters,how important is the smell of oysters,how important is the oyster shell color,how important is the oyster meat color,how important is the oyster harvest location
320, 56, female, 0, yes, Academia, , conservative, , $50000-$74999, Graduate degree/Professional, 3-5 times per year, No, once, once, 99, 25, Yes, 1, 5, pay less than other locations, pay less than other locations, Fried, , 5, 6, 6, 5, 7, 9, 5, 7, 6
490, 25, female, 6-9, no, Academia, , moderate, , $35000-$49999, Bachelor's degree, >9 times per year, No, twice a week, 3 times, 70, 60, No, 1, 6, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 5, 5, 6, 5, 5, 5, 5, 6, 5
1298, 21, male, 1-2, no, Academia, , conservative, , $15000-$24999, Bachelor's degree, 6-9 times per year, No, 3 times, 4, 60, 75, No, 2, 9, pay more than other locations, pay more than other locations, Raw on the half shell, , 1, 5, 5, 8, 5, 6, 1, 9, 9
1181, 28, female, 1-2, yes, Academia, , moderate, , $50000-$74999, Graduate degree/Professional, 1-2 times per year, No, 2, 5, 20, 70, Yes, 1, 5, pay the same as other locations, pay the same as other locations, Fried, , 5, 6, 7, 6, 5, 9, 5, 8, 6
1351, 48, female, 3-5, yes, Agriculture, , moderate, , $100000-$149999, Some college credit, 3-5 times per year, No, 5, 4, 78, 47, Yes, 3, 5, pay the same as other locations, pay the same as other locations, Fried, , 4, 6, 3, 8, 6, 7, 3, 6, 4
1232, 73, male, 3-5, no, Other, , liberal, , $75000-$99999, Graduate degree/Professional, 6-9 times per year, No, 5, 10, 55, 28, No, 2, 5, pay the same as other locations, pay the same as other locations, Grilled, , 5, 5, 5, 5, 5, 7, 5, 7, 5
1348, 63, male, 1-2, yes, Other, , conservative, , $50000-$74999, Some college credit, 1-2 times per year, No, 4, 8, 28, 80, Yes, 1, 7, pay less than other locations, pay less than other locations, Raw on the half shell, , 3, 3, 4, 5, 7, 9, 7, 6, 5
1299, 69, female, >9, yes, government, , liberal, , $100000-$149999, Graduate degree/Professional, 3-5 times per year, No, 12, 6, 85, 50, Yes, 1, 5, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 8, 7, 7, 2, 8, 8, 2, 3, 2
1399, 43, male, 6-9, no, government, , liberal, , $100000-$149999, Some college credit, 1-2 times per year, No, 4, 4, 25, 50, Yes, 1, 7, pay less than other locations, pay less than other locations, Raw on the half shell, , 5, 5, 7, 5, 6, 8, 5, 6, 6
750, 19, female, 3-5, no, Other, , moderate, , $75000-$99999, Some college credit, 1-2 times per year, No, three times, one time, 25, 9, No, 1, 5, pay the same as other locations, pay the same as other locations, Fried, , 6, 5, 7, 5, 5, 8, 5, 5, 5
1133, 68, female, 3-5, yes, , , moderate, , $25000-$34999, Associate degree, 3-5 times per year, No, 10 to 12 times, 6 or 7, 76, 48, Yes, 1, 5, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 9, 9, 9, 9, 9, 9, 9, 8, 9
848, 27, female, 0, yes, Other, , moderate, , $75000-$99999, Graduate degree/Professional, 1-2 times per year, Yes, once, once, 50, 80, Yes, 1, 7, pay more than other locations, pay more than other locations, Fried, , 1, 1, 5, 5, 5, 7, 5, 5, 7
1364, 65, female, 3-5, yes, Other, , conservative, , $100000-$149999, Graduate degree/Professional, 1-2 times per year, No, 8, 12, 69, 87, Yes, 1, 2, pay the same as other locations, pay less than other locations, Fried, , 1, 1, 4, 1, 2, 9, 1, 7, 2
1166, 67, male, 3-5, yes, Other, , moderate, , $35000-$49999, Graduate degree/Professional, >9 times per year, No, 5, 5, 20, 80, Yes, 3, 8, pay the same as other locations, pay the same as other locations, Raw on the half shell, , 7, 7, 8, 7, 5, 7, 4, 6, 2
1114, 29, female, >9, yes, Academia, , liberal, , $15000-$24999, Graduate degree/Professional, >9 times per year, No, 10 times, 10 times, 75, 75, Yes, 2, 2, pay more than other locations, pay more than other locations, Fried, , 2, 8, 8, 8, 5, 7, 5, 5, 5
710, 34, female, 0, no, Other, , moderate, , $50000-$74999, Graduate degree/Professional, 3-5 times per year, Yes, 1, 2, 5, 99, No, 1, 1, pay the same as other locations, pay the same as other locations, Other, , 1, 1, 1, 1, 1, 1, 1, 1, 1
818, 60, female, 3-5, yes, Other, , liberal, , $50000-$74999, Graduate degree/Professional, 6-9 times per year, No, 8 times a month, 8 times a month, 50, 74, Yes, 1, 7, pay more than other locations, pay more than other locations, Raw on the half shell, , 5, 5, 5, 5, 5, 7, 5, 7, 7
1132, 20, female, 1-2, no, Other, , liberal, , $35000-$49999, Bachelor's degree, 6-9 times per year, No, 2-3 times, once a week, 10, 30, No, 1, 1, pay less than other locations, pay less than other locations, Grilled, , 1, 7, 8, 5, 6, 7, 3, 7, 4
1147, 25, male, 1-2, yes, Academia, , other, , Less than $10000, Some college credit, 1-2 times per year, No, 2 times per month, 3 times per month, 75, 90, Yes, 1, 9, pay the same as other locations, pay more than other locations, Fried, , 5, 5, 5, 5, 6, 9, 6, 9, 9
713, 53, female, 3-5, yes, Other, , conservative, , $50000-$74999, Bachelor's degree, >9 times per year, No, 8, 4, 50, 69, Yes, 1, 5, pay more than other locations, pay more than other locations, Raw on the half shell, , 5, 5, 8, 6, 8, 8, 4, 6, 8
939, 21, female, 0, yes, Other, , liberal, , Less than $10000, Some college credit, 3-5 times per year, Yes, 1, 5, 33, 73, Yes, 1, 1, pay more than other locations, pay the same as other locations, Fried, , 1, 1, 6, 6, 5, 6, 3, 6, 6
1201, 19, male, 1-2, yes, Academia, , liberal, , $100000-$149999, Some college credit, 3-5 times per year, No, 5, 5, 20, 30, No, 1, 7, pay less than other locations, pay less than other locations, Grilled, , 3, 7, 9, 7, 7, 7, 6, 7, 7
878, 23, male, 1-2, yes, Academia, , liberal, , $35000-$49999, Bachelor's degree, 6-9 times per year, No, 3 times, 5 times, 75, 70, Yes, 2, 7, pay less than other locations, pay less than other locations, Fried, , 5, 5, 5, 7, 5, 7, 5, 5, 8
846, 20, female, 0, yes, Academia, , liberal, , Less than $10000, High school graduate, 3-5 times per year, Yes, 0, once a month, 0, 0, Yes, 1, 9, pay more than other locations, pay more than other locations, Other, , 1, 1, 6, 1, 5, 5, 5, 5, 9
735, 23, female, 0, yes, Agriculture, , moderate, , $35000-$49999, Bachelor's degree, 3-5 times per year, No, once every two weeks, one to two times, 59, 93, Yes, 3, 2, pay less than other locations, pay the same as other locations, Fried, , 1, 1, 8, 1, 7, 7, 1, 8, 2
742, 21, female, 3-5, yes, Academia, , liberal, , $50000-$74999, Associate degree, 3-5 times per year, No, once a week, twice a month, 75, 65, Yes, 9, 9, pay less than other locations, pay less than other locations, Fried, , 3, 3, 7, 6, 6, 8, 3, 7, 8
975, 37, female, 3-5, no, Other, , moderate, , $100000-$149999, Graduate degree/Professional, 3-5 times per year, No, once, ten times, 50, 45, No, 5, 5, pay the same as other locations, pay the same as other locations, Fried, , 5, 5, 5, 5, 5, 5, 5, 5, 5
774, 19, male, 1-2, no, Academia, , moderate, , $75000-$99999, Some college credit, >9 times per year, No, 3, 7, 35, 63, No, 8, 7, pay the same as other locations, pay less than other locations, Raw on the half shell, , 5, 4, 6, 7, 4, 6, 3, 7, 7
1248, 53, female, 1-2, no, Other, , moderate, , $50000-$74999, Bachelor's degree, 3-5 times per year, Yes, 2, 4, 50, 30, No, 2, 8, pay the same as other locations, pay the same as other locations, Grilled, , 6, 5, 7, 4, 7, 8, 3, 5, 8
783, 23, female, 1-2, yes, Other, , moderate, , $10000-$14999, Bachelor's degree, >9 times per year, No, 4, 6, 70, 81, Yes, 1, 6, pay the same as other locations, pay the same as other locations, Grilled, , 6, 6, 7, 6, 6, 6, 7, 7, 5
943, 18, female, 0, no, Agriculture, , liberal, , $35000-$49999, Some college credit, 1-2 times per year, Yes, once a month, 3-4 times, 14, 4, No, 1, 5, pay the same as other locations, pay the same as other locations, Fried, , 1, 3, 6, 6, 6, 6, 6, 4, 3
905, 23, female, 1-2, no, Business, , liberal, , $75000-$99999, Bachelor's degree, 3-5 times per year, No, 1, 4, 20, 60, No, 2, 3, pay less than other locations, pay less than other locations, Fried, , 1, 1, 7, 2, 9, 9, 2, 2, 8
746, 19, female, 3-5, yes, Other, , liberal, , Less than $10000, Some college credit, 6-9 times per year, No, 4, 5, 72, 67, Yes, 2, 2, pay the same as other locations, pay the same as other locations, Grilled, , 2, 5, 7, 6, 8, 8, 4, 7, 3
